,tpm
A1BG,10.4655409
A1BG-AS1,2.8047489
A1CF,0.0186589000749262
A2M,0.9145115
A2M-AS1,0.00836943
A2ML1,0.34757026
A2ML1-AS1,0
A2ML1-AS2,0.170282
A2MP1,0.00426583
A3GALT2,0.0199396
A4GALT,0
A4GNT,0
AA06,0
AAAS,49.179533
AACS,22.331338
AACSP1,7.08254
AADAC,0
AADACL2,0
AADACL2-AS1,8.9063
AADACL3,0.0184547
AADACL4,0
AADACP1,0
AADAT,0
AAGAB,20.792646
AAK1,11.3685783
AAMDC,8.262535
AAMP,60.216852
AANAT,0.4387472
AAR2,18.878047
AARD,3.08328
AARS,157.0330264
AARS2,9.589738
AARSD1,53.857857952
AARSP1,0
AASDH,8.4129732
AASDHPPT,43.382956
AASS,0.06838988
AATBC,1.01920962656
AATF,55.4630524
AATK,0.0786755
AB015752.1,0.210515
ABALON,1.36233
ABAT,2.2079623
ABBA01000935.1,0.0315368
ABBA01000935.2,0.0315368
ABBA01006766.1,0.474474
ABBA01026962.1,0
ABCA1,0.0996966
ABCA10,0.7643481
ABCA11P,0.9088057
ABCA12,3.477133
ABCA13,0.4608853
ABCA17P,1.5969702
ABCA2,2.3196341
ABCA3,13.0538786
ABCA4,1.3285735
ABCA5,27.0120789
ABCA6,1.5453224
ABCA7,13.5390836
ABCA8,3.027197358
ABCA9,1.5228257
ABCA9-AS1,0.0355184
ABCB1,0.5967803
ABCB10,13.751073
ABCB10P1,0
ABCB10P3,0
ABCB10P4,0
ABCB11,0.00637566
ABCB4,1.5381773
ABCB5,0.249723
ABCB6,13.927349
ABCB7,36.099845
ABCB8,15.207328
ABCB9,0.89217218
ABCC1,37.6546539985
ABCC10,10.206015
ABCC11,0.1243716
ABCC12,0.0688381
ABCC13,0.048909
ABCC2,1.111803
ABCC3,0.99336083
ABCC4,13.749103
ABCC5,8.9400466
ABCC5-AS1,0
ABCC6,0.46663046
ABCC6P1,0.073849834
ABCC6P2,0
ABCC8,0
ABCC9,0.902396
ABCD1,2.738783
ABCD1P2,0
ABCD1P3,0
ABCD1P4,0
ABCD1P5,0
ABCD2,3.57777
ABCD3,24.919104
ABCD4,34.275757
ABCE1,93.051152
ABCF1,73.2096444
ABCF2,28.991429
ABCF2P1,0.069934
ABCF2P2,0.130963
ABCF3,38.644591
