geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0044403	symbiosis, encompassing mutualism through parasitism	http://amigo.geneontology.org/amigo/term/GO:0044403	746	31	7.79985063480209	3.97443508234393	3.6877834119764e-11	1.44506116850351e-07	1642;2885;3190;3383;3838;4792;4928;4938;5431;5437;5689;5901;6129;6137;6143;6201;6222;6772;7094;7520;8021;8664;8878;8907;9349;9475;10524;23327;27044;55690;85363	KAT5;DDB1;NEDD4L;SND1;GRB2;HNRNPK;ICAM1;KPNA2;NFKBIA;NUP98;OAS1;POLR2B;POLR2H;PACS1;PSMB1;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;STAT1;TLN1;XRCC5;NUP214;TRIM5;EIF3D;SQSTM1;AP1M1;RPL23;ROCK2
GO:0044419	interspecies interaction between organisms	http://amigo.geneontology.org/amigo/term/GO:0044419	746	31	7.79985063480209	3.97443508234393	3.6877834119764e-11	1.44506116850351e-07	1642;2885;3190;3383;3838;4792;4928;4938;5431;5437;5689;5901;6129;6137;6143;6201;6222;6772;7094;7520;8021;8664;8878;8907;9349;9475;10524;23327;27044;55690;85363	KAT5;DDB1;NEDD4L;SND1;GRB2;HNRNPK;ICAM1;KPNA2;NFKBIA;NUP98;OAS1;POLR2B;POLR2H;PACS1;PSMB1;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;STAT1;TLN1;XRCC5;NUP214;TRIM5;EIF3D;SQSTM1;AP1M1;RPL23;ROCK2
GO:0016032	viral process	http://amigo.geneontology.org/amigo/term/GO:0016032	711	30	7.43390589992532	4.03556359252562	5.51987344721283e-11	1.44506116850351e-07	1642;2885;3190;3383;3838;4792;4928;4938;5431;5437;5689;5901;6129;6137;6143;6201;6222;6772;7094;7520;8021;8664;8907;9349;9475;10524;23327;27044;55690;85363	KAT5;DDB1;NEDD4L;SND1;GRB2;HNRNPK;ICAM1;KPNA2;NFKBIA;NUP98;OAS1;POLR2B;POLR2H;PACS1;PSMB1;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;STAT1;TLN1;XRCC5;NUP214;TRIM5;EIF3D;AP1M1;RPL23;ROCK2
GO:0044764	multi-organism cellular process	http://amigo.geneontology.org/amigo/term/GO:0044764	717	30	7.49663928304705	4.0017931858936	6.7787553348353e-11	1.44506116850351e-07	1642;2885;3190;3383;3838;4792;4928;4938;5431;5437;5689;5901;6129;6137;6143;6201;6222;6772;7094;7520;8021;8664;8907;9349;9475;10524;23327;27044;55690;85363	KAT5;DDB1;NEDD4L;SND1;GRB2;HNRNPK;ICAM1;KPNA2;NFKBIA;NUP98;OAS1;POLR2B;POLR2H;PACS1;PSMB1;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;STAT1;TLN1;XRCC5;NUP214;TRIM5;EIF3D;AP1M1;RPL23;ROCK2
GO:0051704	multi-organism process	http://amigo.geneontology.org/amigo/term/GO:0051704	1673	42	17.4921583271098	2.40107591153616	4.90083780224637e-08	8.35788878795096e-05	1642;2177;2182;2185;2354;2885;3190;3298;3383;3838;4792;4928;4938;5073;5108;5431;5437;5689;5901;6129;6137;6143;6201;6222;6772;7094;7520;8021;8664;8878;8907;9349;9475;9897;10524;22803;23327;27044;50944;55690;84678;85363	KAT5;DDB1;FANCD2;ACSL4;PTK2B;XRN2;NEDD4L;FOSB;SND1;GRB2;HNRNPK;HSF2;ICAM1;KPNA2;NFKBIA;NUP98;OAS1;PARN;SHANK1;PCM1;POLR2B;POLR2H;PACS1;PSMB1;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;STAT1;TLN1;XRCC5;NUP214;KDM2B;TRIM5;EIF3D;SQSTM1;AP1M1;RPL23;ROCK2;WASHC5
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	437	19	4.56908140403286	4.1583850931677	1.60310009711395e-07	0.000199630947436635	5901;6129;6137;6143;6201;6222;8664;9188;9349;22803;23020;23246;27043;28987;51340;51491;55661;55695;56342	XRN2;SNRNP200;BOP1;PELP1;NOB1;CRNKL1;NOP16;DDX27;NSUN5;PPAN;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;EIF3D;DDX21;RPL23
GO:0019058	viral life cycle	http://amigo.geneontology.org/amigo/term/GO:0019058	439	19	4.5899925317401	4.13944028636512	1.72042863288979e-07	0.000199630947436635	1642;3383;3838;4928;4938;5431;5437;5901;6129;6137;6143;6201;6222;8021;8664;9349;9475;23327;85363	DDB1;NEDD4L;ICAM1;KPNA2;NUP98;OAS1;POLR2B;POLR2H;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;NUP214;TRIM5;EIF3D;RPL23;ROCK2
GO:0042254	ribosome biogenesis	http://amigo.geneontology.org/amigo/term/GO:0042254	313	16	3.27259148618372	4.88909173893199	1.87293019759949e-07	0.000199630947436635	5901;6129;6137;6143;6201;6222;9188;9349;22803;23246;27043;28987;51491;55661;55695;56342	XRN2;BOP1;PELP1;NOB1;NOP16;DDX27;NSUN5;PPAN;RAN;RPL7;RPL13;RPL19;RPS7;RPS18;DDX21;RPL23
GO:0018205	peptidyl-lysine modification	http://amigo.geneontology.org/amigo/term/GO:0018205	390	17	4.07766990291262	4.16904761904762	7.23051581275058e-07	0.000685051203725825	142;641;1786;3066;3190;3662;4928;5111;8021;8295;8473;9126;10524;23741;64135;79595;387893	KAT5;PARP1;DNMT1;EID1;HDAC2;HNRNPK;IRF4;KMT5A;NUP98;PCNA;BLM;IFIH1;SAP130;NUP214;TRRAP;OGT;SMC3
GO:0006259	DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006259	933	27	9.75504107542942	2.76779972439136	1.36644947512643e-06	0.00116517146744031	142;328;641;1642;1786;2177;2185;3838;4175;4176;4928;5111;5431;5437;5901;6778;7011;7520;8295;9100;9126;9320;10524;10973;22803;51366;79991	KAT5;ASCC3;PARP1;DDB1;DNMT1;FANCD2;PTK2B;XRN2;APEX1;KPNA2;MCM6;MCM7;NUP98;PCNA;UBR5;POLR2B;POLR2H;RAN;BLM;STAT6;TEP1;XRCC5;STN1;TRRAP;USP10;SMC3;TRIP12
