geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0007049	cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007049	1672	56	22.7886482449589	2.45736383299469	1.15722320614964e-10	9.86764227883796e-07	440;545;678;701;1192;1499;1639;1642;1785;2316;3054;3835;3978;4173;4282;4600;4627;5111;5426;5591;5594;5707;5905;6241;6711;6829;7153;7157;7158;7514;8021;8314;8567;9344;9688;9793;10051;10399;10514;10912;10983;11113;11180;23019;23165;23225;23304;23384;27250;51755;55125;56992;57448;81929;84444;113130	SMC4;RACK1;MYBBP1A;GADD45G;CCNI;CIT;WDR6;CDCA5;CLIC1;CTNNB1;DCTN1;DDB1;DNM2;CNOT1;FLNA;NUP205;NUP210;UBR2;SPECC1L;PDCD4;HCFC1;KIF22;LIG1;MCM4;MIF;ASNS;MX2;MYH9;PCNA;CDK12;POLE;ATR;CEP192;PRKDC;MAPK1;KIF15;PSMD1;BIRC6;RANGAP1;RRM2;SPTBN1;ZFP36L2;SUPT5H;BUB1B;TOP2A;TP53;TP53BP1;XPO1;NUP214;SEH1L;BAP1;DOT1L;MADD;TAOK2;NUP93;CKAP5
GO:0006259	DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006259	933	37	12.7163928304705	2.90963015166865	3.96096022647896e-09	1.6887553925593e-05	545;908;1499;1642;2073;2185;3835;3838;3978;4173;4796;5111;5426;5430;5436;5591;5594;6241;6829;7011;7153;7157;7158;7318;7398;8295;9730;10075;10514;10919;22992;23049;23405;56160;79991;84444;113130	HUWE1;MYBBP1A;EHMT2;CDCA5;CTNNB1;DDB1;ERCC5;PTK2B;KDM2A;SMG1;DICER1;KIF22;KPNA2;LIG1;MCM4;TONSL;PCNA;POLE;POLR2A;POLR2G;ATR;PRKDC;MAPK1;NSMCE3;RRM2;SUPT5H;TEP1;TOP2A;TP53;TP53BP1;UBA7;USP1;STN1;TRRAP;DOT1L;CCT6A;DCAF1
GO:0016925	protein sumoylation	http://amigo.geneontology.org/amigo/term/GO:0016925	128	13	1.7445855115758	7.45162671232877	2.08953487845775e-08	5.93915463620309e-05	1499;5111;5905;7153;7157;7158;8021;9688;23165;23225;56160;64135;81929	CTNNB1;NUP205;NUP210;PCNA;NSMCE3;RANGAP1;IFIH1;TOP2A;TP53;TP53BP1;NUP214;SEH1L;NUP93
GO:0022613	ribonucleoprotein complex biogenesis	http://amigo.geneontology.org/amigo/term/GO:0022613	437	23	5.95612397311426	3.86157173756309	3.23332711715807e-08	6.78371134156031e-05	545;6129;6175;6201;6637;6880;7514;9169;10171;23019;23195;23405;25926;50628;51491;54680;55127;55661;55695;55720;56342;80135;115752	RCL1;DIS3L;CNOT1;MDN1;DICER1;NOL11;GEMIN4;NOP16;ATR;ZNHIT6;HEATR1;DDX27;NSUN5;TSR1;PPAN;RPL7;RPLP0;RPS7;SNRPG;TAF9;XPO1;RPF1;SCAF11
GO:0034660	ncRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034660	554	26	7.55078416728902	3.44335097176203	3.97778312510866e-08	6.78371134156031e-05	3376;5188;5430;5436;6129;6175;6201;6621;6880;9328;10171;23195;23405;25926;26173;29894;50628;54920;55127;55661;55695;55720;55756;60528;80135;115752	RCL1;DIS3L;MDN1;DICER1;NOL11;INTS1;CPSF1;IARS;GEMIN4;GATB;POLR2A;POLR2G;DUS2;HEATR1;DDX27;NSUN5;TSR1;INTS9;ELAC2;RPL7;RPLP0;RPS7;SNAPC4;TAF9;RPF1;GTF3C5
GO:0006913	nucleocytoplasmic transport	http://amigo.geneontology.org/amigo/term/GO:0006913	451	23	6.14693801344287	3.74170033107554	5.75549345960269e-08	7.07491968934588e-05	1499;2316;3838;4600;4796;5594;5905;6637;6711;7157;7514;8021;9688;10514;10768;23049;23165;23225;26953;29894;50628;54106;81929	MYBBP1A;AHCYL1;CTNNB1;SMG1;FLNA;NUP205;NUP210;RANBP6;CPSF1;KPNA2;MX2;TONSL;GEMIN4;TLR9;MAPK1;RANGAP1;SNRPG;SPTBN1;TP53;XPO1;NUP214;SEH1L;NUP93
GO:0070647	protein modification by small protein conjugation or removal	http://amigo.geneontology.org/amigo/term/GO:0070647	988	36	13.4660194174757	2.67339581831291	5.80795564975034e-08	7.07491968934588e-05	701;1499;1642;2185;5111;5707;5905;7153;7157;7158;7318;7398;8021;8237;8295;8314;9688;9730;9736;9968;10075;10477;23165;23225;23304;23352;25831;26133;26233;54850;56160;57448;64135;80344;81929;130507	HUWE1;UBE2E3;UBR3;CTNNB1;DDB1;PTK2B;NUP205;NUP210;UBR2;UBR4;HECTD1;TRPC4AP;FBXL6;PCNA;FBXL12;NSMCE3;PSMD1;BIRC6;RANGAP1;IFIH1;BUB1B;TOP2A;TP53;TP53BP1;UBA7;USP1;NUP214;DCAF11;SEH1L;USP11;TRRAP;BAP1;NUP93;DCAF1;USP34;MED12
GO:0051169	nuclear transport	http://amigo.geneontology.org/amigo/term/GO:0051169	459	23	6.25597460791636	3.67648551049035	7.9175003664389e-08	8.43906570307806e-05	1499;2316;3838;4600;4796;5594;5905;6637;6711;7157;7514;8021;9688;10514;10768;23049;23165;23225;26953;29894;50628;54106;81929	MYBBP1A;AHCYL1;CTNNB1;SMG1;FLNA;NUP205;NUP210;RANBP6;CPSF1;KPNA2;MX2;TONSL;GEMIN4;TLR9;MAPK1;RANGAP1;SNRPG;SPTBN1;TP53;XPO1;NUP214;SEH1L;NUP93
GO:0051276	chromosome organization	http://amigo.geneontology.org/amigo/term/GO:0051276	591	26	8.0550784167289	3.22777739146559	1.42817840331766e-07	0.000128943962077233	545;701;908;1499;1642;1660;3008;3835;3978;4173;5111;5426;5591;5594;5905;7011;7153;7157;7514;9793;10051;23049;79991;81929;84444;113130	SMC4;CDCA5;CTNNB1;DDB1;DHX9;SMG1;HIST1H1E;KIF22;LIG1;MCM4;PCNA;POLE;ATR;PRKDC;MAPK1;RANGAP1;BUB1B;TEP1;TOP2A;TP53;XPO1;STN1;SEH1L;DOT1L;CCT6A;CKAP5
GO:0032200	telomere organization	http://amigo.geneontology.org/amigo/term/GO:0032200	126	12	1.71732636295743	6.98760600130463	1.51218437993705e-07	0.000128943962077233	545;908;1499;3978;5111;5426;5591;5594;7011;23049;79991;84444	CTNNB1;SMG1;LIG1;PCNA;POLE;ATR;PRKDC;MAPK1;TEP1;STN1;DOT1L;CCT6A
GO:0018205	peptidyl-lysine modification	http://amigo.geneontology.org/amigo/term/GO:0018205	390	20	5.31553398058252	3.76255707762557	4.04890918126455e-07	0.000309918167318327	1499;3008;3054;5111;5905;6880;7153;7157;7158;8021;8295;9688;10919;23165;23210;23225;56160;64135;81929;84444	EHMT2;CTNNB1;NUP205;JMJD6;NUP210;HIST1H1E;HCFC1;PCNA;NSMCE3;RANGAP1;IFIH1;TAF9;TOP2A;TP53;TP53BP1;NUP214;SEH1L;TRRAP;DOT1L;NUP93
