userid	genesymbol	genename	entrezgene
SMC4	SMC4	structural maintenance of chromosomes 4	10051
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061
HUWE1	HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	10075
RCL1	RCL1	RNA terminal phosphate cyclase like 1	10171
DENND4A	DENND4A	DENN domain containing 4A	10260
RACK1	RACK1	receptor for activated C kinase 1	10399
LRRN2	LRRN2	leucine rich repeat neuronal 2	10446
UBE2E3	UBE2E3	ubiquitin conjugating enzyme E2 E3	10477
MYBBP1A	MYBBP1A	MYB binding protein 1a	10514
KDM5B	KDM5B	lysine demethylase 5B	10765
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768
GADD45G	GADD45G	growth arrest and DNA damage inducible gamma	10912
EHMT2	EHMT2	euchromatic histone lysine methyltransferase 2	10919
CCNI	CCNI	cyclin I	10983
DIDO1	DIDO1	death inducer-obliterator 1	11083
CIT	CIT	citron rho-interacting serine/threonine kinase	11113
WDR6	WDR6	WD repeat domain 6	11180
CDCA5	CDCA5	cell division cycle associated 5	113130
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332
EVI5L	EVI5L	ecotropic viral integration site 5 like	115704
DIS3L	DIS3L	DIS3 like exosome 3'-5' exoribonuclease	115752
ZNF526	ZNF526	zinc finger protein 526	116115
AP3S1	AP3S1	adaptor related protein complex 3 sigma 1 subunit	1176
PIK3AP1	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1	118788
CLIC1	CLIC1	chloride intracellular channel 1	1192
UBR3	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative)	130507
SOWAHA	SOWAHA	sosondowah ankyrin repeat domain family member A	134548
CPD	CPD	carboxypeptidase D	1362
CSF1	CSF1	colony stimulating factor 1	1435
CARMIL2	CARMIL2	capping protein regulator and myosin 1 linker 2	146206
CTNNB1	CTNNB1	catenin beta 1	1499
DCK	DCK	deoxycytidine kinase	1633
DCTN1	DCTN1	dynactin subunit 1	1639
DDB1	DDB1	damage specific DNA binding protein 1	1642
