userid	genesymbol	genename	entrezgene
ACOT8	ACOT8	acyl-CoA thioesterase 8	10005
UQCRFS1P1	UQCRFS1P1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 pseudogene 1	100128525
PDCD6IP	PDCD6IP	programmed cell death 6 interacting protein	10015
TROAP	TROAP	trophinin associated protein	10024
MED16	MED16	mediator complex subunit 16	10025
DDX11L8	DDX11L8	DEAD/H-box helicase 11 like 8	100302090
CHAF1A	CHAF1A	chromatin assembly factor 1 subunit A	10036
PARP3	PARP3	poly(ADP-ribose) polymerase family member 3	10039
SMC4	SMC4	structural maintenance of chromosomes 4	10051
TIMM23B	TIMM23B	translocase of inner mitochondrial membrane 23 homolog B	100652748
HUWE1	HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	10075
PDCD7	PDCD7	programmed cell death 7	10081
PQBP1	PQBP1	polyglutamine binding protein 1	10084
ARPC5	ARPC5	actin related protein 2/3 complex subunit 5	10092
ARPC4	ARPC4	actin related protein 2/3 complex subunit 4	10093
ACTR2	ACTR2	ARP2 actin related protein 2 homolog	10097
NUBP2	NUBP2	nucleotide binding protein 2	10101
TSFM	TSFM	Ts translation elongation factor, mitochondrial	10102
FEM1B	FEM1B	fem-1 homolog B	10116
PLXNC1	PLXNC1	plexin C1	10154
RBM5	RBM5	RNA binding motif protein 5	10181
ALYREF	ALYREF	Aly/REF export factor	10189
ALG3	ALG3	ALG3, alpha-1,3- mannosyltransferase	10195
PRMT3	PRMT3	protein arginine methyltransferase 3	10196
PSMD14	PSMD14	proteasome 26S subunit, non-ATPase 14	10213
TRIB1	TRIB1	tribbles pseudokinase 1	10221
PLIN3	PLIN3	perilipin 3	10226
HNRNPR	HNRNPR	heterogeneous nuclear ribonucleoprotein R	10236
TIMM17B	TIMM17B	translocase of inner mitochondrial membrane 17B	10245
POP7	POP7	POP7 homolog, ribonuclease P/MRP subunit	10248
DENND4A	DENND4A	DENN domain containing 4A	10260
SF3B4	SF3B4	splicing factor 3b subunit 4	10262
UBE4B	UBE4B	ubiquitination factor E4B	10277
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028
SAP18	SAP18	Sin3A associated protein 18	10284
RGS19	RGS19	regulator of G-protein signaling 19	10287
MAEA	MAEA	macrophage erythroblast attacher	10296
ADAR	ADAR	adenosine deaminase, RNA specific	103
TCIRG1	TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3	10312
IKZF1	IKZF1	IKAROS family zinc finger 1	10320
AKR1A1	AKR1A1	aldo-keto reductase family 1 member A1	10327
IRF9	IRF9	interferon regulatory factor 9	10379
TUBB3	TUBB3	tubulin beta 3 class III	10381
DLC1	DLC1	DLC1 Rho GTPase activating protein	10395
NDC80	NDC80	NDC80, kinetochore complex component	10403
CD2BP2	CD2BP2	CD2 cytoplasmic tail binding protein 2	10421
SEC24B	SEC24B	SEC24 homolog B, COPII coat complex component	10427
