geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0000278	mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000278	965	176	71.5882499377645	2.4585040164134	0	0	328;440;472;581;678;701;835;894;983;1019;1026;1029;1070;1164;1453;1499;1639;1642;1654;1820;1876;1981;2033;2071;2316;3064;3276;3280;3796;3833;3835;3978;4000;4172;4173;4174;4175;4176;4436;4735;4739;4751;4869;4927;4928;4957;5108;5111;5356;5422;5471;5500;5515;5518;5537;5591;5685;5689;5691;5696;5702;5704;5709;5710;5713;5714;5718;5719;5721;5885;5901;5962;6118;6198;6240;6241;6386;6651;6711;7027;7153;7157;7175;7283;7298;7443;7832;8021;8086;8239;8450;8607;8697;8872;8882;8914;9088;9126;9181;9184;9212;9688;9735;9793;9820;9837;9918;10015;10051;10197;10213;10296;10393;10403;10459;10460;10498;10519;10636;10657;10726;11258;11319;22919;22974;23019;23087;23141;23160;23165;23225;23244;23279;23326;23383;23513;23649;25946;25959;26057;27338;29127;51434;54069;54888;55143;55159;55215;55388;55746;56254;56984;56992;57082;57448;64682;65123;79598;79892;79902;79959;80124;80279;81620;81929;87178;113130;114791;119504;121441;124997;146909;221035;283489;348654;387893	PDCD6IP;SMC4;CDK4;PSME3;PSMD14;CDKN1A;CDKN2A;MAEA;ANAPC10;NDC80;MAD2L2;TACC3;CARM1;CIB1;RGS14;KHDRBS1;CETN3;NUDC;DCTN3;CDCA5;ECD;TUBGCP5;CKS2;ANAPC16;NEDD1;WDR81;CSNK1D;KIF18B;CTNNB1;DCTN1;DDB1;DDX3X;ARID3A;E2F6;EIF4G1;EP300;ERCC3;REEP3;MAPRE1;TPX2;CNOT1;TRIM35;ANKLE2;FLNA;WDR43;NUP205;NUP210;PDS5A;NUP160;USP22;MAU2;SCRIB;POLA2;ZNF385A;KANK2;ANKRD17;UBE2S;CHAMP1;RACGAP1;HTT;PRMT1;APEX1;HES1;GEN1;KIF2A;KIFC1;KIF22;KMT5A;LIG1;LMNA;MCM3;MCM4;MCM5;MCM6;MCM7;ASNS;MSH2;ATM;SEPT2;NEDD9;NEK2;NPM1;NUP88;NUP98;ODF2;PCM1;PCNA;ANAPC7;PLRG1;MIS18A;POLA1;PPAT;NSUN2;PPP1CB;CDCA8;PPP2CA;RFWD3;PPP2R1A;FANCI;PPP6C;MCM10;NUP133;PRKDC;RNF20;PSMA4;PSMB1;PSMB3;PSMB8;PSMG2;KIF15;PSMC3;PSMC4;KNL1;PSMD3;PSMD4;PSMD7;PSMD8;PSMD12;PSMD13;PSME2;BIRC6;BAX;RAD21;RAN;RDX;RPA2;RPS6KB1;RRM1;RRM2;SDCBP;ANAPC1;INTS3;SON;SPTBN1;ZFP36L2;BUB1B;TFDP1;TOP2A;TP53;TPR;TUBG1;TYMS;VRK1;BTG2;CEP97;MCMBP;NUP85;CEP76;VCPIP1;NUP214;CDK5RAP3;AAAS;CDT1;SEH1L;USP9X;CASP2;CUL4B;RUVBL1;CDC23;PNPT1;CDC123;ZPR1;TIMELESS;CCND2;PKMYT1;SMC3;ARHGEF2;BUB3;AURKB;NUP93;KNTC1;CKAP5;CUL7;CDK1;GINS1;NCAPD2
GO:0006259	DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006259	933	172	69.2143390589993	2.48503420444982	0	0	142;143;317;328;472;545;581;672;908;983;1026;1453;1499;1642;1643;1676;1736;1786;1854;2033;2071;2177;2185;2189;2237;2475;2778;3835;3838;3978;4172;4173;4174;4175;4176;4287;4436;4609;4751;4796;4841;4869;4928;5111;5422;5430;5431;5432;5433;5434;5437;5515;5518;5531;5591;5594;5885;5901;5930;5976;5981;5985;6118;6240;6241;6418;6421;6598;6749;6778;6829;6917;6950;7126;7153;7157;7158;7203;7298;7319;7320;7374;7415;7515;7520;7528;7832;7874;8295;8450;8607;8882;8914;9031;9100;9126;9212;9219;9320;9716;9730;9837;9887;9985;10036;10213;10459;10514;10519;10574;10575;10576;10635;10694;10856;10973;11176;22944;22992;23028;23049;23198;23244;23560;23649;25788;26057;27339;27434;29072;29089;29128;29980;50813;51053;51366;51426;51514;54069;54386;54496;54881;55159;55183;55215;55226;55388;55729;56655;56915;57459;57599;58525;64061;65057;65123;79892;79991;80233;81620;84126;84444;113130;118460;125150;151636;164668;201164;222229;348654;548593;728340	CHAF1A;PSMD14;CDKN1A;MAD2L2;MYBBP1A;CIB1;CCT7;CCT4;CCT2;RAD51AP1;CCT8;RUVBL2;ASCC3;BAZ2A;CDCA5;EXOSC6;ZSWIM7;PARP1;PARP4;CSNK1D;CTNNB1;DTX3L;DDB1;DDB2;APOBEC3H;DFFA;DKC1;DNMT1;DUT;PLD6;EP300;ERCC3;FANCD2;PTK2B;FANCG;LRWD1;FEN1;KIN;KDM2A;KDM1A;SMG1;PSME4;PDS5A;GTPBP4;POLA2;MTOR;RAD54B;ANKRD17;PRPF19;POLM;GNAS;SETD2;UBE2T;UHRF1;DONSON;APAF1;APEX1;GEN1;KIF22;KPNA2;LIG1;MCM3;MCM4;MCM5;MCM6;MCM7;ATXN3;MSH2;MYC;ATM;NEK2;TONSL;NONO;NPM1;NUP98;COPS7A;GMNN;PCNA;UBR5;POLK;DTL;MIS18A;POLA1;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2H;TERF2IP;PRMT7;ATR;SLX1A;TEX10;PPP2CA;RFWD3;PPP2R1A;RIF1;FANCI;NAT10;PPP4C;MCM10;ATF7IP;PRKDC;MAPK1;POLE4;EXOSC5;GATAD2B;WDR48;BAX;WIZ;RAD21;RAN;RBBP6;UPF1;RFC1;RFC5;RPA2;RRM1;RRM2;TSPYL2;SET;SFPQ;ACD;INTS3;SMARCB1;BRCA1;SSRP1;STAT6;SUPT5H;TCEA1;TCP1;TNFAIP1;TOP2A;TP53;TP53BP1;CCT3;GTF2H2C;TYMS;UBE2A;UBE2B;UNG;VCP;XRCC1;XRCC5;YY1;BTG2;USP7;MCMBP;STN1;FAAP100;CDT1;TRRAP;ATRIP;DOT1L;CUL4B;RUVBL1;ZPR1;TIMELESS;BAZ1B;CCT6A;USP10;SMC3;AURKB;MTA2;TRIP12;AQR;DCAF1;CDK1;GINS1;SMG7;REC8
GO:0006281	DNA repair	http://amigo.geneontology.org/amigo/term/GO:0006281	485	101	35.9795867562858	2.80714730505777	0	0	142;143;328;472;545;672;983;1453;1642;1643;2033;2071;2177;2189;2237;2475;3835;3978;4287;4436;4796;4841;4869;5111;5422;5430;5431;5432;5433;5434;5437;5531;5591;5885;5976;5981;5985;6118;6421;6598;6749;6917;7157;7158;7319;7320;7374;7415;7515;7520;7528;7832;7874;8295;8450;8607;8914;9031;9100;9126;9320;9716;9985;10036;10213;10459;10519;10635;10856;10973;22944;22992;23028;23049;23198;23244;25788;27339;27434;29072;29089;29128;50813;51366;51426;51514;54386;55159;55183;55215;57599;65123;80233;84126;84444;113130;125150;151636;348654;548593;728340	CHAF1A;PSMD14;MAD2L2;CIB1;RAD51AP1;RUVBL2;ASCC3;CDCA5;ZSWIM7;PARP1;PARP4;CSNK1D;DTX3L;DDB1;DDB2;EP300;ERCC3;FANCD2;FANCG;FEN1;KIN;KDM2A;KDM1A;SMG1;PSME4;PDS5A;MTOR;RAD54B;PRPF19;POLM;SETD2;UBE2T;UHRF1;APEX1;GEN1;KIF22;LIG1;ATXN3;MSH2;ATM;TONSL;NONO;NPM1;COPS7A;PCNA;UBR5;POLK;DTL;POLA1;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2H;TERF2IP;ATR;SLX1A;RFWD3;RIF1;FANCI;PPP4C;PRKDC;WDR48;RAD21;UPF1;RFC1;RFC5;RPA2;SFPQ;INTS3;SMARCB1;BRCA1;SSRP1;TCEA1;TP53;TP53BP1;GTF2H2C;UBE2A;UBE2B;UNG;VCP;XRCC1;XRCC5;YY1;BTG2;USP7;FAAP100;TRRAP;ATRIP;DOT1L;CUL4B;RUVBL1;TIMELESS;BAZ1B;USP10;SMC3;TRIP12;AQR;CDK1;REC8
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	887	161	65.8018421707742	2.44674001044165	0	0	103;708;1198;1453;1477;1478;1479;1655;1660;1665;1736;1994;2071;2091;2332;2962;3190;3191;3735;4154;4670;4686;4736;4841;5093;5094;5356;5411;5430;5431;5432;5433;5434;5437;5515;5518;5930;5936;6122;6125;6129;6130;6137;6143;6147;6158;6160;6165;6175;6176;6202;6217;6421;6606;6629;6651;6829;8189;8458;8731;8882;9092;9169;9188;9444;9611;9716;9785;9836;10084;10262;10421;10436;10492;10528;10557;10594;10657;10772;10949;10992;11224;11319;11338;22944;23013;23016;23020;23028;23076;23160;23195;23210;23246;23450;23521;23524;23536;23560;24148;25873;25896;26156;26168;26173;26528;27238;27336;27339;28987;29894;50628;51755;53981;54496;54606;54623;54881;54888;54901;55127;55164;55226;55272;55544;55644;55661;55677;55695;55756;56254;56915;57018;57418;57805;60528;63899;64852;65123;79033;79171;79876;79882;79922;80135;80324;83448;84294;84324;84916;84991;87178;90353;90957;91746;92105;116461;118460;125950;127933;285855	PQBP1;SF3B4;ADAR;CD2BP2;EMG1;SYNCRIP;NOP56;RPP38;PRPF8;KHDRBS1;SRSF10;HNRNPA0;SF3B2;RPL35;ECD;U2AF2;TSEN15;EXOSC6;CLK3;RAVER1;UHMK1;CSNK1D;CSTF1;CSTF2;CSTF3;DDX5;DHX9;DHX15;DKC1;ELAVL1;ERCC3;FBL;KIN;SPEN;EXOSC7;SNRNP200;KDM1A;RRP1B;WDR43;MDN1;JMJD6;BOP1;FMR1;SF3B3;RPL13A;SRRM2;ADAT1;GTPBP4;PRPF6;RPL36;INTS7;RSL1D1;SENP3;INTS1;DAZAP1;GPKOW;HTATSF1;PRPF19;RPL7L1;NOB1;GTF2F1;CPSF1;HNRNPK;HNRNPL;KARS;MBNL1;HNRNPM;NCBP1;RPL10A;NONO;GEMIN4;PCBP1;PCBP2;CDK12;PLRG1;CPSF2;PNN;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2H;PRMT7;DDX56;PAF1;TEX10;NSUN2;CDKAL1;HEATR1;PPP2CA;SHQ1;PPP2R1A;NAT10;IMP3;RBM38;OSGEP;DDX27;IWS1;NSUN5;INTS9;RNF20;EXOSC5;CCNL1;WDR18;CCAR2;RBBP6;RBM4;ELAC2;RPL3;RPL5;RPL7;RPL7A;RPL13;RPL19;RPL23A;RPL28;RPL31;RPL35A;RPLP0;RPLP1;RPS8;RPS16;NSUN3;SFPQ;TUT1;INTS3;SMN1;SNRPB2;SON;SUPT5H;C1QBP;ERI3;RBM42;UBA5;ZC3H14;MRM1;RPF1;PUS1;SYMPK;PUS7L;UTP23;SARNP;TTF2;UTP4;RBM17;PNPT1;RNMT;ZPR1;CTU1;SART1;DHX57;SCAF11;YTHDC1;DDX21;INTS4;QKI;NCOR1;AQR;DHX38;LCMT2
GO:0006412	translation	http://amigo.geneontology.org/amigo/term/GO:0006412	587	106	43.54642768235	2.43418359763557	0	0	468;678;708;1019;1612;1654;1937;1938;1968;1974;1975;1981;1982;1994;2058;2185;2193;2332;2475;2597;2617;3609;3735;4076;4141;4343;4686;4736;4869;5094;5433;5499;5594;5917;5936;5976;6059;6122;6125;6129;6130;6137;6143;6147;6158;6160;6165;6175;6176;6183;6198;6199;6202;6217;6726;6774;7175;7298;7458;7832;8661;8663;8664;8665;8666;8667;8672;8872;8890;9444;9521;9611;9698;10480;10492;10657;10767;10985;11224;23019;23178;23521;25873;25946;26156;27068;27335;28985;51021;51073;51187;51258;51441;54676;54901;55272;80222;83939;84324;91574;116496;127933;136319;219927;285855;340152	CDK4;EIF3M;SYNCRIP;KHDRBS1;HBS1L;GCN1;RPL35;FAM129A;UHMK1;MTPN;DAPK1;DDX3X;EEF1G;EEF2;EIF2S3;EIF4A2;EIF4B;EIF4G1;EIF4G2;ELAVL1;EPRS;PTK2B;FARSA;MRPL21;CNOT1;PASK;FMR1;RPL13A;MTOR;RPL36;ZNF385A;GAPDH;RSL1D1;GARS;PPA2;EIF3K;RPL7L1;MCTS1;ZC3H12D;ILF3;KARS;CAPRIN1;MARS;MOV10;ATF4;NCBP1;RPL10A;NPM1;PCBP2;MRPS16;MRPL4;RSL24D1;MRPL51;YTHDF2;POLR2D;GTPBP2;CDKAL1;PPP1CA;IMP3;MAPK1;RARS;RBM4;UPF1;ABCE1;RPL3;RPL5;RPL7;RPL7A;RPL13;RPL19;RPL23A;RPL28;RPL31;RPL35A;RPLP0;RPLP1;MRPS12;RPS6KB1;RPS6KB2;RPS8;RPS16;SRP9;STAT3;ZFP36L2;C1QBP;TPR;TYMS;EIF4H;BTG2;TARS2;EIF2A;SARNP;EIF3A;EIF3C;EIF3D;EIF3F;EIF3G;EIF3H;EIF4G3;CDC123;EIF2B4;C12orf65;QKI;EEF1E1;NCOR1;PUM1
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	188	53	13.9467264127458	3.80017492503213	0	0	468;1654;1968;1974;1975;1981;1982;2332;4686;4736;4869;5094;5433;5499;5936;6059;6122;6125;6129;6130;6137;6143;6147;6158;6160;6165;6175;6176;6198;6199;6202;6217;7175;7458;8661;8663;8664;8665;8666;8667;8672;8872;8890;10480;10657;11224;23521;25873;27335;28985;51441;83939;127933	EIF3M;KHDRBS1;RPL35;UHMK1;DDX3X;EIF2S3;EIF4A2;EIF4B;EIF4G1;EIF4G2;FMR1;RPL13A;RPL36;EIF3K;MCTS1;ATF4;NCBP1;RPL10A;NPM1;PCBP2;YTHDF2;POLR2D;PPP1CA;RBM4;ABCE1;RPL3;RPL5;RPL7;RPL7A;RPL13;RPL19;RPL23A;RPL28;RPL31;RPL35A;RPLP0;RPLP1;RPS6KB1;RPS6KB2;RPS8;RPS16;TPR;EIF4H;EIF2A;EIF3A;EIF3C;EIF3D;EIF3F;EIF3G;EIF3H;EIF4G3;CDC123;EIF2B4
GO:0006886	intracellular protein transport	http://amigo.geneontology.org/amigo/term/GO:0006886	1017	151	75.445855115758	2.00143533091802	0	0	142;163;302;868;983;1026;1314;1315;1434;1499;2316;2475;2648;3280;3308;3313;3326;3718;3838;3936;4000;4580;4641;4736;4792;4796;4869;4927;4928;5108;5190;5476;5594;5714;5901;5905;6122;6125;6129;6130;6137;6143;6147;6158;6160;6165;6175;6176;6202;6217;6386;6400;6642;6643;6653;6711;6720;6721;6726;6727;6731;6745;6746;6774;6850;7046;7095;7157;7175;7249;7415;7514;7879;8021;8314;8504;8607;8841;8882;8907;8943;9141;9181;9344;9648;9688;9695;9697;9709;9747;9784;9817;9910;10245;10427;10483;10484;10513;10519;10526;10527;10541;10802;10938;10952;10956;10961;10972;11140;11224;11321;11338;22818;22820;23165;23192;23214;23339;23521;23633;23649;25873;26286;26953;27072;30845;51284;51366;54069;54106;54471;54732;55072;55374;55705;55737;55746;56993;57617;57728;64328;65057;79139;79576;79809;79902;83752;84875;92335;127933;401505	TIMM17B;CDKN1A;SEC24B;SEC23B;SEC23A;APPBP2;CIB1;IPO8;IPO7;ANP32B;SEC24A;EHD1;SEC61B;OS9;ERP29;TMED10;CDC37;RPL35;GPN1;U2AF2;UHMK1;COPA;COPB1;PARP1;CSE1L;CTNNB1;AP2B1;COPZ1;COPG1;FLNA;NUP205;ATG4B;XPO6;VPS39;RPL13A;KPNA6;POLA2;MTOR;RPL36;ARFGAP3;KAT2A;RANBP6;VPS41;ANXA2;EHD3;HES1;HSPA4;HSPA9;HSP90AB1;JAK3;KPNA2;LCP1;LMNA;TOMM5;MTX1;MYO1C;RPL10A;NFKBIA;TONSL;NPM1;NUP88;NUP98;PCM1;TLR7;UBR5;PEX6;MIS18A;TLR9;MIEF1;TMED9;CTSA;RNF31;TMCO6;IPO9;VPS35;NUP133;MAPK1;TOMM22;PSMD8;VPS18;WDR19;RAN;RANGAP1;RPL3;RPL5;RPL7;RPL7A;RPL13;RPL19;RPL23A;RPL28;RPL31;RPL35A;RPLP0;RPLP1;RPS8;RPS16;SDCBP;SEL1L;XPO4;ACD;SNX1;SNX2;SORL1;SPTBN1;SREBF1;SREBF2;SRP9;SRP14;SRP72;SSR1;SSR2;STAT3;SYK;TGFBR1;SEC62;TP53;TPR;TSC2;VCP;XPO1;RAB7A;DERL1;NKAP;TTC21B;NUP85;NUP214;BAP1;LONP2;PARP10;PEX3;RUVBL1;CBLB;HDAC3;ZPR1;AP1M1;AP3D1;PDCD5;ARHGEF2;STRADA;TAOK2;GCC2;NUP93;EDEM1;TRAM2;HERPUD1;TCAF1;SNX17;KEAP1;CDK1;RABGAP1L
GO:0006974	cellular response to DNA damage stimulus	http://amigo.geneontology.org/amigo/term/GO:0006974	755	144	56.0094597958676	2.57099426641184	0	0	142;143;328;472;545;581;672;835;983;1026;1453;1642;1643;1655;1820;2033;2071;2177;2189;2237;2332;2475;2885;3190;3276;3835;3978;4067;4170;4176;4282;4287;4436;4609;4796;4841;4869;5111;5366;5422;5430;5431;5432;5433;5434;5437;5531;5591;5594;5885;5930;5976;5981;5985;6118;6421;6598;6749;6872;6880;6917;7027;7153;7157;7158;7317;7319;7320;7374;7415;7515;7520;7528;7832;7874;8295;8450;8607;8914;9031;9070;9100;9126;9320;9344;9521;9716;9985;10036;10116;10213;10459;10498;10519;10635;10856;10973;11011;22944;22992;23019;23028;23049;23198;23244;23788;25788;25896;25946;27339;27434;28985;29072;29089;29128;50813;51366;51426;51514;54386;54541;55159;55183;55215;55388;57599;57659;57805;65057;65123;79968;80233;80279;84126;84303;84444;113130;125150;151636;261726;348654;387893;548593;728340	CHAF1A;FEM1B;PSMD14;CDKN1A;MAD2L2;CARM1;CIB1;RAD51AP1;RUVBL2;ASCC3;TLK2;CDCA5;ZSWIM7;PARP1;PARP4;CSNK1D;DTX3L;DDB1;DDB2;DDX5;ARID3A;EP300;ERCC3;FANCD2;FANCG;FEN1;KIN;KDM2A;CNOT1;KDM1A;SMG1;PSME4;PDS5A;FMR1;MTCH2;MTOR;RAD54B;INTS7;ZNF385A;TIPRL;PRPF19;POLM;GRB2;MCTS1;SETD2;UBE2T;UHRF1;HNRNPK;PRMT1;APEX1;GEN1;KIF22;KMT5A;LIG1;LYN;MCL1;MCM7;MIF;ATXN3;MSH2;MYC;ATM;TONSL;NONO;NPM1;COPS7A;PCNA;UBR5;POLK;DTL;PMAIP1;POLA1;POLR2A;POLR2B;POLR2C;POLR2D;POLR2E;POLR2H;TERF2IP;ATR;DDIT4;SLX1A;RFWD3;RIF1;FANCI;PPP4C;MCM10;PRKDC;MAPK1;WDR48;ZBTB4;CCAR2;BAX;RAD21;RBBP6;UPF1;RFC1;RFC5;RPA2;SFPQ;ACD;INTS3;SMARCB1;BRCA1;SSRP1;TAF1;TAF9;TCEA1;TFDP1;TOP2A;TP53;TP53BP1;GTF2H2C;UBA1;UBE2A;UBE2B;UNG;VCP;XRCC1;XRCC5;YY1;BTG2;USP7;WDR76;FAAP100;CDK5RAP3;TRRAP;CASP2;ATRIP;CHCHD6;DOT1L;CUL4B;RUVBL1;TIMELESS;BAZ1B;ASH2L;USP10;SMC3;TRIP12;TAOK2;EEF1E1;AQR;CDK1;REC8
GO:0007049	cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007049	1672	269	124.036843415484	2.16871046209178	0	0	328;440;472;545;581;672;678;701;835;894;983;1019;1026;1029;1070;1164;1326;1453;1499;1639;1642;1654;1718;1820;1876;1981;1982;2033;2071;2177;2189;2237;2316;2475;3054;3064;3276;3280;3796;3833;3835;3978;4000;4172;4173;4174;4175;4176;4282;4436;4591;4600;4609;4616;4627;4735;4739;4751;4869;4927;4928;4957;5108;5111;5201;5356;5422;5471;5496;5499;5500;5501;5515;5518;5537;5573;5591;5594;5621;5685;5689;5691;5696;5702;5704;5709;5710;5713;5714;5718;5719;5721;5885;5901;5905;5962;5976;6118;6198;6240;6241;6386;6421;6494;6598;6651;6662;6711;6774;6829;6872;7027;7046;7153;7157;7158;7175;7249;7283;7298;7320;7443;7514;7832;8021;8086;8239;8314;8450;8567;8607;8697;8841;8872;8882;8914;9088;9092;9126;9181;9184;9212;9344;9611;9688;9698;9735;9793;9798;9820;9837;9897;9918;9985;9988;10015;10036;10051;10096;10097;10116;10197;10213;10296;10325;10393;10403;10459;10460;10498;10514;10519;10636;10657;10726;10869;10904;10983;11011;11140;11180;11258;11319;22919;22974;23019;23087;23141;23160;23165;23225;23244;23246;23279;23304;23326;23383;23384;23513;23560;23582;23649;23741;25788;25896;25909;25946;25959;26057;27013;27250;27338;28956;28985;29127;29128;29980;51053;51434;51514;51755;54069;54888;55143;55159;55183;55215;55388;55544;55746;56254;56984;56992;57018;57082;57448;57805;58525;64061;64682;65123;65992;79598;79892;79902;79959;79968;80124;80279;81620;81929;84126;84444;87178;92335;113130;114791;115098;119504;121441;124997;127933;146909;201164;221035;261726;283489;348654;387893	PDCD6IP;CHAF1A;SMC4;ACTR3;ACTR2;FEM1B;CDK4;PSME3;PSMD14;CDKN1A;CDKN2A;MAEA;RRAGB;ANAPC10;NDC80;MAD2L2;TACC3;CARM1;MYBBP1A;CIB1;RGS14;KHDRBS1;CETN3;NUDC;USP19;BLCAP;CCNI;TLK2;CDC37;WDR6;DCTN3;CDCA5;ECD;TUBGCP5;CCDC124;CKS2;ANAPC16;NEDD1;WDR81;UHMK1;MAP3K8;CSNK1D;KIF18B;CTNNB1;DCTN1;DDB1;DDX3X;DHCR24;ARID3A;E2F6;EIF4G1;EIF4G2;PLD6;EP300;ERCC3;FANCD2;FANCG;REEP3;FEN1;MAPRE1;TPX2;CNOT1;TRIM35;ANKLE2;FLNA;WDR43;NUP205;NUP210;PDS5A;BOP1;NUP160;UBR2;USP22;MAU2;SPECC1L;SCRIB;GTPBP4;CCNDBP1;POLA2;EID1;MTOR;RAD54B;INTS7;AHCTF1;ZNF385A;KANK2;ANKRD17;TIPRL;CNPPD1;PDCD4;UBE2S;CHAMP1;LAMTOR2;MCTS1;RACGAP1;UHRF1;DONSON;HCFC1;HTT;PRMT1;APEX1;HES1;GEN1;KIF2A;KIFC1;KIF22;KMT5A;LIG1;LMNA;MCM3;MCM4;MCM5;MCM6;MCM7;MIF;ASNS;MSH2;TRIM37;MX2;MYC;GADD45B;MYH9;ATM;SEPT2;NEDD9;NEK2;NPM1;NUP88;NUP98;ODF2;GMNN;PCM1;PCNA;ANAPC7;DTL;CDK12;PFDN1;PLRG1;MIS18A;POLA1;ATR;PPAT;NSUN2;PPM1G;PPP1CA;PPP1CB;PPP1CC;CDCA8;PPP2CA;RFWD3;PPP2R1A;RIF1;FANCI;PPP6C;MCM10;RBM38;PRKAR1A;NUP133;PRKDC;MAPK1;PRNP;RNF20;PSMA4;PSMB1;PSMB3;PSMB8;PSMG2;KIF15;CCNL1;PSMC3;PSMC4;KNL1;PSMD3;PSMD4;PSMD7;PSMD8;PSMD12;PSMD13;PSME2;BIRC6;CCAR2;BAX;WIZ;RAD21;RAN;RANGAP1;RDX;UPF1;RPA2;RPS6KB1;RRM1;RRM2;SDCBP;TSPYL2;SFPQ;ANAPC1;SIPA1;INTS3;SMARCB1;DDRGK1;SON;SOX9;SPTBN1;BRCA1;STAT3;ZFP36L2;SUPT5H;TAF1;BUB1B;TFDP1;TGFBR1;TOP2A;TP53;TP53BP1;TPR;TSC2;TUBG1;TYMS;UBE2B;VRK1;XPO1;BTG2;CEP97;MCMBP;NUP85;CEP76;WDR76;VCPIP1;NUP214;CDK5RAP3;AAAS;CDT1;SEH1L;USP9X;BAP1;CASP2;ATRIP;DOT1L;CUL4B;MADD;RUVBL1;CDC23;PNPT1;HDAC3;CDC123;ZPR1;TIMELESS;CCND2;PKMYT1;SART1;SMC3;ARHGEF2;BUB3;AURKB;STRADA;TAOK2;NCOR1;NUP93;PUM1;KNTC1;CKAP5;IST1;CUL7;CDK1;GINS1;WASHC5;NCAPD2;REC8;DMTF1
GO:0009057	macromolecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0009057	1173	188	87.0186706497386	2.16045589522649	0	0	101;178;302;317;472;581;678;701;983;1453;1499;1522;1642;1676;1974;1975;1981;2185;2237;2316;2332;2475;3074;3309;3326;4287;4534;4669;4686;4736;4953;5045;5073;5094;5366;5433;5476;5499;5500;5515;5518;5527;5685;5689;5691;5696;5702;5704;5709;5710;5713;5714;5718;5719;5721;5930;5962;5976;6050;6122;6125;6129;6130;6137;6143;6147;6158;6160;6165;6175;6176;6202;6217;6386;6400;6499;6642;6653;6662;6872;6880;7076;7126;7157;7317;7319;7320;7415;7514;7812;7832;7874;7879;8237;8239;8314;8450;8635;8697;8878;8882;8916;9100;9184;9212;9320;9373;9690;9695;9709;9736;9817;9820;9887;10015;10197;10213;10296;10393;10459;10730;10869;10952;10956;11011;11224;11313;22838;22898;23016;23019;23049;23192;23198;23304;23326;23327;23352;23450;23521;23644;25831;25873;25930;26091;26133;26267;27044;27246;27338;27339;29128;51132;51366;51434;51514;51528;54431;54476;54850;55737;55802;55905;55968;56254;56829;56915;57674;57805;64682;64852;65992;79139;79888;80279;83752;83892;84153;84196;87178;90678;118460;119504;127933;130507;149603;201595;375790	PDCD6IP;ADAM8;PSME3;PSMD14;MAEA;ANAPC10;MAD2L2;YME1L1;USP19;SEC61B;OS9;TLK2;RPL35;LYPLA2;EXOSC6;ANAPC16;UHMK1;UBR3;CSNK1D;RNF187;CTNNB1;CTSZ;DDB1;DFFA;AGL;EIF4A2;EIF4B;EIF4G1;STT3B;PTK2B;FEN1;RNF44;DENND3;EXOSC7;CNOT1;SMG1;FLNA;ATG4B;PSME4;UBR2;FMR1;USP22;NEDD4L;UBR4;SF3B3;RPL13A;EDC4;MTOR;HECTD1;RPL36;PTPN23;HERC4;TRPC4AP;FBXO10;SND1;RNF115;UBE2S;PRPF19;UHRF1;ANXA2;HEXB;APAF1;HSPA5;HSP90AB1;AGRN;ATXN3;MTM1;NAGLU;NCBP1;ATM;RPL10A;ODC1;FURIN;PARN;PCBP2;RLIM;UBR5;ANAPC7;DTL;JKAMP;PMAIP1;POLR2D;DNAJC10;RNF216;CTSA;FBXL12;PPP1CA;PPP1CB;PPP2CA;PPP2R1A;PPP2R5C;VPS35;DCP1A;RNF114;NSFL1C;RNF20;ZC3HAV1;PSMA4;PSMB1;PSMB3;EXOSC5;PSMB8;PSMC3;PSMC4;PSMD3;PSMD4;PSMD7;PSMD8;PSMD12;PSMD13;PSME2;RNF213;CCAR2;BAX;RBBP6;RDX;UPF1;RNH1;RPL3;RPL5;RPL7;RPL7A;RPL13;RPL19;RPL23A;RPL28;RPL31;RPL35A;RPLP0;RPLP1;RPS8;RPS16;SDCBP;SEL1L;ANAPC1;TUT1;SKIV2L;DDRGK1;SNX1;SORL1;SOX9;ZFP36L2;TAF1;TAF9;BUB1B;TIMP1;TNFAIP1;TP53;UBA1;UBE2A;UBE2B;VCP;XPO1;CSDE1;BTG2;USP7;RAB7A;DERL1;LPCAT1;CDK5RAP3;USP11;USP9X;BAP1;LONP2;KCTD10;RNASEH2C;USP48;CUL4B;RNASET2;CDC23;PNPT1;SQSTM1;ZPR1;HERC3;LRSAM1;USP10;BUB3;AURKB;TRIP12;PLAA;UBE3C;EDEM1;HERPUD1;USP34;KEAP1;CUL7;CDK1;SMG7
