userid	genesymbol	genename	entrezgene
ACOT8	ACOT8	acyl-CoA thioesterase 8	10005
SRA1	SRA1	steroid receptor RNA activator 1	10011
PDCD6IP	PDCD6IP	programmed cell death 6 interacting protein	10015
GPR75-ASB3	GPR75-ASB3	GPR75-ASB3 readthrough	100302652
CHAF1A	CHAF1A	chromatin assembly factor 1 subunit A	10036
SH2D3A	SH2D3A	SH2 domain containing 3A	10045
SMC4	SMC4	structural maintenance of chromosomes 4	10051
LY75-CD302	LY75-CD302	LY75-CD302 readthrough	100526664
PMF1-BGLAP	PMF1-BGLAP	PMF1-BGLAP readthrough	100527963
TNFAIP8L2-SCNM1	TNFAIP8L2-SCNM1	TNFAIP8L2-SCNM1 readthrough	100534012
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061
SCAMP2	SCAMP2	secretory carrier membrane protein 2	10066
PQBP1	PQBP1	polyglutamine binding protein 1	10084
ARPC4	ARPC4	actin related protein 2/3 complex subunit 4	10093
ARPC3	ARPC3	actin related protein 2/3 complex subunit 3	10094
ACTR3	ACTR3	ARP3 actin related protein 3 homolog	10096
ACTR2	ACTR2	ARP2 actin related protein 2 homolog	10097
ADAM8	ADAM8	ADAM metallopeptidase domain 8	101
NUBP2	NUBP2	nucleotide binding protein 2	10101
HNRNPCL4	HNRNPCL4	heterogeneous nuclear ribonucleoprotein C-like 4	101060301
FEM1B	FEM1B	fem-1 homolog B	10116
RBM12	RBM12	RNA binding motif protein 12	10137
G3BP1	G3BP1	G3BP stress granule assembly factor 1	10146
EBI3	EBI3	Epstein-Barr virus induced 3	10148
ATP6AP2	ATP6AP2	ATPase H+ transporting accessory protein 2	10159
LPCAT3	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162
CDK4	CDK4	cyclin dependent kinase 4	1019
ALG3	ALG3	ALG3, alpha-1,3- mannosyltransferase	10195
PSME3	PSME3	proteasome activator subunit 3	10197
PSMD14	PSMD14	proteasome 26S subunit, non-ATPase 14	10213
DCAF7	DCAF7	DDB1 and CUL4 associated factor 7	10238
TIMM17B	TIMM17B	translocase of inner mitochondrial membrane 17B	10245
