geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0000278	mitotic cell cycle	http://amigo.geneontology.org/amigo/term/GO:0000278	965	170	68.5853871048046	2.47866210538733	0	0	25;328;440;472;677;678;701;894;983;990;991;996;1028;1029;1070;1164;1499;1613;1639;1642;1820;1978;1981;2033;2071;2316;3161;3280;3796;3835;4000;4085;4134;4172;4173;4174;4175;4176;4436;4602;4735;4869;4926;5000;5108;5111;5426;5500;5524;5530;5537;5546;5591;5691;5694;5696;5704;5707;5709;5710;5713;5714;5719;5721;5901;5962;6118;6152;6240;6241;6386;6651;6683;6711;7153;7157;7283;7298;7832;8086;8239;8450;8607;8697;8872;9126;9181;9212;9688;9735;9793;9820;9837;9918;10015;10039;10051;10197;10213;10403;10459;10519;10592;10636;10657;10907;11113;11258;11319;22919;22974;23019;23126;23141;23160;23225;23244;23279;23310;23326;23383;23513;23594;23649;25777;25793;25946;26057;26271;27229;27338;29127;29882;51547;54821;55143;55159;55165;55215;55388;55746;55755;55795;55909;56254;56984;56992;57082;57122;57448;64682;65123;79023;79027;79598;79892;79902;79959;80279;81620;81929;84861;114791;119504;121441;146909;157313;259266;348654;440145	PDCD6IP;PARP3;SMC4;PSME3;PSMD14;CDKN1C;CDKN2A;NDC80;MAD2L2;CIB1;SMC2;RGS14;KHDRBS1;CETN3;TXNL4A;CIT;DCTN3;ECD;TUBGCP5;CKS2;ANAPC16;NEDD1;KIF18B;CTNNB1;CDCA2;DAPK3;DCTN1;DDB1;ARID3A;EIF4EBP1;EIF4G1;EP300;ERCC3;MAPRE1;TPX2;CNOT1;POGZ;ANKLE2;FLNA;WDR43;NUP210;PDS5A;NUP160;NCAPD3;USP22;MAU2;SCRIB;ORC6;POLA2;ABL1;SUN2;FBXO7;ASPM;ZNF385A;ANKRD17;FBXO5;TUBGCP4;UBE2S;RACGAP1;ANAPC2;HMMR;APEX1;HES1;GEN1;KIF2A;KIF22;LMNA;MAD2L1;MAP4;MCM3;MCM4;MCM5;MCM6;MCM7;ASNS;MZT1;MSH2;MYB;ATM;SEPT2;NPM1;NUMA1;ORC4;PCM1;PCNA;SIRT7;POLE;ERCC6L;PPP1CB;CDCA8;RFWD3;CEP55;FANCI;PTPA;PPP3CA;PPP6C;MCM10;PRCC;NUP133;CDK5RAP2;PCID2;BIN3;PRKDC;RNF20;PSMB3;PSMB6;PSMB8;PSMG2;KIF15;PSMC4;PSMD1;KNL1;PSMD3;PSMD4;NUP107;PSMD7;PSMD8;PSMD13;PSME2;BIRC6;RAN;RDX;RPA2;RPL24;RRM1;RRM2;SDCBP;ANAPC1;INTS3;SON;SPAST;SPTBN1;ZFP36L1;ZFP36L2;BUB1B;TOP2A;TP53;TUBG1;TYMS;BTG2;NUP37;ZNF655;CEP97;MCMBP;NUP85;CEP76;CDK5RAP3;AAAS;CDT1;SEH1L;USP9X;CUL4B;KLHL22;RUVBL1;CDC23;CDC123;CCND2;SMC3;ARHGEF2;AURKB;NUP93;KNTC1;CKAP5;CUL7;CDK1;GINS1;CDC6;CDC20;NCAPD2;CDC27
GO:0006259	DNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006259	933	151	66.3110530246453	2.27714676682753	0	0	25;143;328;472;545;672;908;983;990;1499;1642;1643;1736;1786;1854;2021;2033;2071;2177;2185;2237;2956;3148;3835;3836;3838;4172;4173;4174;4175;4176;4292;4436;4609;4796;4841;4869;5000;5111;5426;5430;5431;5432;5434;5437;5580;5591;5594;5810;5901;5976;5985;6118;6240;6241;6418;6421;6749;6778;6829;6830;6917;7011;7014;7037;7126;7153;7157;7158;7298;7319;7320;7374;7398;7415;7515;7520;7832;7874;8295;8450;8607;9031;9100;9126;9212;9219;9318;9320;9466;9716;9730;9837;9985;10036;10039;10189;10213;10459;10514;10519;10524;10574;10576;10635;10694;10856;10919;10933;10973;11176;23028;23049;23244;23560;23594;23649;25788;26057;27033;29089;29128;51053;51366;51426;51514;54496;54881;55159;55183;55215;55388;55729;56655;56915;56949;57459;58525;65057;65123;79892;79991;81620;84126;118460;146059;151636;200316;201164;348654;548593	CHAF1A;PARP3;ALYREF;PSMD14;MAD2L2;MYBBP1A;CIB1;KAT5;CCT7;CCT2;RAD51AP1;CCT8;RUVBL2;EHMT2;MORF4L1;ASCC3;BAZ2A;EXOSC6;PARP4;CDAN1;CTNNB1;DTX3L;DDB1;DDB2;DKC1;DNMT1;DUT;APOBEC3F;PLD6;ENDOG;EP300;ERCC3;FANCD2;PTK2B;FEN1;KDM1A;SMG1;PDS5A;GTPBP4;ORC6;POLA2;ABL1;RAD54B;ANKRD17;ZBTB32;UBE2T;UHRF1;MSH6;HMGB2;APEX1;GEN1;KIF22;KPNA1;KPNA2;MCM3;MCM4;MCM5;MCM6;MCM7;MLH1;MSH2;MYC;ATM;TONSL;NONO;NPM1;ORC4;GMNN;PCNA;UBR5;POLK;DTL;POLE;POLR2A;POLR2B;POLR2C;POLR2E;POLR2H;PRMT7;ATR;SLX1A;TEX10;RFWD3;RIF1;FANCI;MCM10;ATF7IP;PRKCD;PRKDC;MAPK1;POLE4;EXOSC5;XAB2;GATAD2B;RAD1;WIZ;RAN;UPF1;RFC5;RPA2;RRM1;RRM2;SET;SFPQ;ACD;INTS3;BRCA1;SSRP1;STAT6;SUPT5H;SUPT6H;TCEA1;TEP1;TERF2;TFRC;TNFAIP1;TOP2A;TP53;TP53BP1;TYMS;UBE2A;UBE2B;UNG;USP1;VCP;XRCC1;XRCC5;BTG2;USP7;MCMBP;STN1;CDT1;TRRAP;ATRIP;CUL4B;RUVBL1;BAZ1B;CCT6A;USP10;SMC3;AURKB;MTA2;COPS2;TRIP12;IL27RA;AQR;DCAF1;CDK1;GINS1;CDC6;REC8
GO:0006396	RNA processing	http://amigo.geneontology.org/amigo/term/GO:0006396	887	161	63.0416977844162	2.553865229813	0	0	103;677;708;1198;1477;1478;1655;1660;1665;1736;2071;2081;2091;2332;2962;2963;3028;3190;3735;3958;4154;4670;4736;4841;5093;5094;5411;5430;5431;5432;5434;5437;5530;5725;5936;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6191;6202;6203;6204;6205;6217;6301;6421;6631;6651;6829;6830;6894;8189;8458;8731;9169;9188;9295;9444;9611;9716;9836;10081;10084;10181;10189;10262;10421;10436;10528;10557;10594;10657;10768;10772;10885;10907;10940;10992;11224;11319;11338;23020;23028;23076;23160;23195;23210;23246;23450;23524;23536;23560;24140;24148;25873;25896;26156;26168;26173;27043;27238;27336;28987;51340;51493;51503;51605;51692;51729;51755;54496;54505;54606;54623;54881;54920;54974;55272;55544;55621;55644;55661;55677;55695;55756;56254;56915;56949;57418;57703;57805;60528;63899;64852;65123;79033;79171;79882;80135;80145;83732;84271;84294;84916;90353;91746;92105;115708;118460;125950;127933;134430;285855;317781	PDCD7;PQBP1;RBM5;ALYREF;SF3B4;ADAR;CD2BP2;EMG1;NOP56;RPP38;PRPF8;KHDRBS1;AHCYL1;SRSF10;WDR3;TXNL4A;POP1;SF3B2;RPL35;ECD;U2AF2;TRMT61A;EXOSC6;CLK3;RAVER1;UHMK1;WDR36;CSTF1;CSTF2;DDX5;DHX9;DHX15;DKC1;ERCC3;ERN1;FBL;SNRNP200;KDM1A;RRP1B;WDR43;MDN1;JMJD6;BOP1;FMR1;SF3B3;SRRM2;ADAT1;GTPBP4;FTSJ1;PRPF6;RPL36;INTS7;RSL1D1;SENP3;INTS1;PELP1;GPKOW;HTATSF1;RPL7L1;NOB1;GTF2F1;GTF2F2;HSD17B10;DDX51;HNRNPK;KARS;LGALS3;MBNL1;HNRNPM;RPL10A;NONO;PCBP1;PCBP2;CRNKL1;RTCB;CWC15;TRMT6;CPSF3;WBP11;CDK12;PNN;POLR2A;POLR2B;POLR2C;POLR2E;POLR2H;PRMT7;DHX29;DDX56;PAF1;TEX10;DUS2;THG1L;IMP3;PPP3CA;RBM38;TRMT1;OSGEP;DDX27;IWS1;NSUN5;INTS9;RNF20;EXOSC5;XAB2;PTBP1;WDR18;CWC22;CCAR2;RBM4;ELAC2;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;RPS4X;RPS8;RPS9;RPS10;RPS11;RPS16;SARS;NSUN3;SFPQ;TUT1;INTS3;SNRPC;SON;ZFP36L1;SUPT5H;SUPT6H;TARBP1;C1QBP;ERI3;RBM42;ZC3H14;RPF1;THOC7;SYMPK;RIOK1;POLDIP3;UTP23;TTF2;UTP4;RNMT;CTU1;SCAF11;YTHDC1;DDX21;INTS4;SRSF11;QKI;NCOR1;AQR;LCMT2
GO:0006412	translation	http://amigo.geneontology.org/amigo/term/GO:0006412	587	105	41.7198157829226	2.51678963652041	0	0	468;677;678;708;1613;1656;1938;1968;1975;1978;1981;1982;2058;2185;2193;2332;2597;2733;3315;3376;3609;3646;3735;4076;4141;4343;4736;4869;5094;5499;5530;5594;5725;5936;5976;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6183;6191;6199;6202;6203;6204;6205;6217;6301;6774;6897;7298;7407;7458;7832;7965;8661;8664;8665;8666;8667;8672;8872;8890;8893;9444;9521;9611;9698;10102;10480;10657;10985;11224;23019;24140;25873;25946;26156;27068;27335;51021;51073;51187;51258;51441;54505;55272;60678;64969;83939;84271;91574;116496;127933;136319;219927;285855;340152;728689	TSFM;EIF3M;KHDRBS1;GCN1;RPL35;FAM129A;UHMK1;MTPN;DAPK3;DDX6;EEF2;EIF2S3;EIF4B;EIF4EBP1;EIF4G1;EIF4G2;EPRS;PTK2B;FARSA;MRPL21;CNOT1;FMR1;FTSJ1;RPL36;ZNF385A;GAPDH;RSL1D1;PPA2;GLE1;EIF3K;RPL7L1;HSPB1;IARS;ZC3H12D;ILF3;EIF3E;KARS;CAPRIN1;MARS;MOV10;ATF4;RPL10A;NPM1;PCBP2;MRPS16;MRPL4;RSL24D1;MRPL51;YTHDF2;DHX29;PPP1CA;IMP3;PPP3CA;MAPK1;PTBP1;RBM4;UPF1;EEFSEC;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;MRPS12;RPS4X;RPS6KB2;RPS8;RPS9;RPS10;RPS11;RPS16;SARS;MRPS5;ZFP36L1;STAT3;ZFP36L2;TARS;C1QBP;EIF3CL;TYMS;VARS;EIF4H;BTG2;AIMP2;EIF2A;POLDIP3;EIF3A;EIF3D;EIF3F;EIF3G;EIF3H;EIF4G3;CDC123;EIF2B4;EIF2B5;C12orf65;QKI;EEF1E1;NCOR1;PUM1
GO:0006413	translational initiation	http://amigo.geneontology.org/amigo/term/GO:0006413	188	53	13.361712720936	3.96655736483214	0	0	468;1968;1975;1978;1981;1982;2332;2733;3315;3646;4736;4869;5094;5499;5725;5936;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6191;6199;6202;6203;6204;6205;6217;7458;8661;8664;8665;8666;8667;8672;8872;8890;8893;10480;10657;11224;25873;27335;51441;54505;83939;127933;728689	EIF3M;KHDRBS1;RPL35;UHMK1;EIF2S3;EIF4B;EIF4EBP1;EIF4G1;EIF4G2;FMR1;RPL36;GLE1;EIF3K;HSPB1;EIF3E;ATF4;RPL10A;NPM1;PCBP2;YTHDF2;DHX29;PPP1CA;PTBP1;RBM4;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;RPS4X;RPS6KB2;RPS8;RPS9;RPS10;RPS11;RPS16;EIF3CL;EIF4H;EIF2A;EIF3A;EIF3D;EIF3F;EIF3G;EIF3H;EIF4G3;CDC123;EIF2B4;EIF2B5
GO:0007049	cell cycle	http://amigo.geneontology.org/amigo/term/GO:0007049	1672	253	118.833955688325	2.12902110793622	0	0	25;328;440;472;545;672;677;678;701;894;896;983;990;991;996;1028;1029;1070;1164;1326;1499;1613;1639;1642;1718;1730;1820;1978;1981;1982;2033;2071;2081;2177;2237;2316;2956;3054;3161;3280;3796;3835;3993;4000;4085;4134;4172;4173;4174;4175;4176;4282;4292;4436;4591;4600;4602;4609;4616;4627;4735;4869;4926;5000;5108;5111;5201;5426;5499;5500;5524;5530;5537;5546;5573;5580;5591;5594;5691;5694;5696;5704;5707;5709;5710;5713;5714;5719;5721;5810;5901;5905;5962;5976;6118;6152;6240;6241;6386;6421;6651;6662;6683;6711;6774;6829;7014;7153;7157;7158;7249;7283;7298;7320;7514;7709;7832;8086;8239;8314;8450;8607;8697;8872;9126;9181;9212;9611;9688;9698;9735;9793;9798;9820;9837;9918;9985;10015;10036;10039;10051;10096;10097;10116;10197;10213;10320;10403;10459;10514;10519;10592;10636;10657;10755;10869;10904;10907;10983;11113;11140;11180;11258;11319;22919;22974;23019;23126;23141;23160;23225;23244;23246;23279;23310;23326;23383;23384;23513;23560;23582;23594;23649;23741;25777;25788;25793;25896;25909;25946;26057;26271;27229;27250;27338;28956;29127;29128;29882;51053;51191;51514;51547;51755;54821;55143;55159;55165;55183;55215;55388;55544;55746;55755;55795;55909;56254;56984;56992;57082;57122;57448;57805;58525;58528;64682;65123;79019;79023;79027;79598;79892;79902;79959;79968;80279;81620;81929;84126;84861;92335;114791;115098;116985;119504;121441;127933;146909;157313;201164;259266;348654;440145	PDCD6IP;CHAF1A;PARP3;SMC4;ACTR3;ACTR2;FEM1B;PSME3;PSMD14;CDKN1C;CDKN2A;IKZF1;NDC80;MAD2L2;MYBBP1A;CIB1;SMC2;RGS14;KHDRBS1;CETN3;GIPC1;USP19;BLCAP;TXNL4A;CCNI;CIT;CDC37;WDR6;DCTN3;ECD;TUBGCP5;CCDC124;CKS2;ARAP1;ANAPC16;NEDD1;UHMK1;MAP3K8;KIF18B;CTNNB1;CDCA2;DAPK3;DCTN1;DDB1;DHCR24;DIAPH2;ARID3A;EIF4EBP1;EIF4G1;EIF4G2;PLD6;EP300;ERCC3;ERN1;FANCD2;FEN1;MAPRE1;TPX2;CNOT1;POGZ;ANKLE2;FLNA;WDR43;NUP210;PDS5A;BOP1;NUP160;NCAPD3;USP22;MAU2;SPECC1L;SCRIB;GTPBP4;CCNDBP1;ORC6;POLA2;EID1;ABL1;SUN2;RAD54B;FBXO7;INTS7;AHCTF1;ASPM;ZNF385A;ANKRD17;FBXO5;TUBGCP4;PDCD4;UBE2S;LAMTOR2;RACGAP1;UHRF1;MSH6;ANAPC2;HCFC1;HMMR;APEX1;HES1;GEN1;KIF2A;KIF22;LLGL2;LMNA;MAD2L1;MAP4;MCM3;MCM4;MCM5;MCM6;MCM7;MIF;MLH1;ASNS;MZT1;MSH2;TRIM37;MX2;MYB;MYC;GADD45B;MYH9;ATM;SEPT2;NPM1;NUMA1;ORC4;GMNN;PCM1;PCNA;HERC5;DTL;SIRT7;CDK12;PFDN1;POLE;ATR;ERCC6L;PPP1CA;PPP1CB;CDCA8;RFWD3;CEP55;RIF1;FANCI;PTPA;PPP3CA;PPP6C;MCM10;PRCC;RBM38;PRKAR1A;NUP133;CDK5RAP2;PCID2;PRKCD;BIN3;PRKDC;MAPK1;RNF20;PSMB3;PSMB6;PSMB8;PSMG2;KIF15;PSMC4;PSMD1;KNL1;PSMD3;PSMD4;NUP107;PSMD7;PSMD8;PSMD13;PSME2;BIRC6;CCAR2;RAD1;WIZ;RRAGD;RAN;RANGAP1;RDX;UPF1;RPA2;RPL24;RRM1;RRM2;SDCBP;SFPQ;ANAPC1;INTS3;SON;SOX9;SPAST;SPTBN1;BRCA1;ZFP36L1;STAT3;ZFP36L2;SUPT5H;BUB1B;TERF2;TOP2A;TP53;TP53BP1;TSC2;TUBG1;TYMS;UBE2B;XPO1;ZBTB17;BTG2;CENPM;NUP37;ZNF655;CEP97;MCMBP;NUP85;CEP76;WDR76;CDK5RAP3;AAAS;CDT1;SEH1L;USP9X;BAP1;ATRIP;CUL4B;KLHL22;RUVBL1;CDC23;CDC123;CCND2;CCND3;SMC3;ARHGEF2;AURKB;STRADA;NCOR1;NUP93;PUM1;KNTC1;CKAP5;IST1;CUL7;CDK1;GINS1;CDC6;CDC20;NCAPD2;CDC27;REC8
GO:0009057	macromolecule catabolic process	http://amigo.geneontology.org/amigo/term/GO:0009057	1173	180	83.3685586258402	2.15908734620019	0	0	302;472;677;678;701;983;991;996;1499;1642;1656;1975;1981;2021;2081;2185;2237;2316;2332;2517;3074;3093;3148;3161;3309;3425;3646;3836;4085;4292;4669;4736;4939;4953;5073;5094;5366;5476;5499;5500;5641;5691;5694;5696;5704;5707;5709;5710;5713;5714;5719;5721;5962;5970;5976;6050;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6191;6202;6203;6204;6205;6217;6385;6386;6400;6499;6642;6653;6662;7126;7157;7317;7319;7320;7398;7415;7514;7812;7832;7874;8237;8239;8314;8450;8635;8697;9097;9100;9212;9320;9373;9709;9817;9820;10015;10197;10213;10277;10459;10524;10730;10755;10845;10869;10940;10952;10956;11224;11313;22838;23019;23049;23192;23274;23326;23327;23352;23450;23644;25793;25831;25873;25930;26133;26234;26271;27044;27338;29128;29882;29979;51035;51191;51255;51271;51283;51366;51465;51514;51528;54850;55139;55737;55795;55905;55968;56254;56829;56915;57563;57674;57805;64682;64852;79139;79888;80279;83752;83892;84153;84196;90678;116986;118460;119504;127933;130507;149603;153830;201595	PDCD6IP;PSME3;PSMD14;UBE4B;MAD2L2;KAT5;YME1L1;GIPC1;CLPX;USP19;POP1;SEC61B;OS9;RPL35;LYPLA2;AGAP2;EXOSC6;ANAPC16;UHMK1;UBR3;RNF187;CTNNB1;RNF145;DDB1;DDX6;EIF4B;EIF4G1;STT3B;ENDOG;ERN1;PTK2B;FEN1;RNF44;CNOT1;SMG1;FLNA;ATG4B;CLEC16A;FMR1;USP22;NEDD4L;UBR4;SF3B3;EDC4;FUCA1;FBXO7;HECTD1;RPL36;PTPN23;TRPC4AP;FBXL5;FBXO5;SND1;UBE2S;UHRF1;ANAPC2;UBQLN1;ANXA2;HEXB;UBE2K;HMGB2;HMMR;HSPA5;IDUA;EIF3E;KPNA1;MAD2L1;MLH1;NAGLU;ATM;RPL10A;OAS2;ODC1;PARN;PCBP2;UBXN1;HERC5;RNF181;UBAP1;BFAR;UBR5;UBE2J1;DTL;JKAMP;PMAIP1;CTSA;FBXL12;PPP1CA;PPP1CB;ANKZF1;VPS35;PCID2;RNF114;NSFL1C;RNF20;LGMN;ZC3HAV1;PSMB3;EXOSC5;PSMB6;PSMB8;PSMC4;PSMD1;PSMD3;PSMD4;PSMD7;PSMD8;PSMD13;PSME2;KLHL8;RNF213;CCAR2;RDX;RELA;UPF1;RNH1;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;RPS4X;RPS8;RPS9;RPS10;RPS11;RPS16;SDC4;SDCBP;SEL1L;ANAPC1;TUT1;SKIV2L;SNX1;SORL1;SOX9;ZFP36L1;ZFP36L2;BUB1B;TNFAIP1;TP53;UBA1;UBE2A;UBE2B;USP1;VCP;XPO1;CSDE1;BTG2;USP7;DERL1;LPCAT1;CDK5RAP3;USP11;USP9X;BAP1;LONP2;KCTD10;RNASEH2C;USP48;CUL4B;RNASET2;CDC23;LRSAM1;USP14;USP10;AURKB;TRIP12;PLAA;HERPUD1;KEAP1;CUL7;CDK1;CDC20;CDC27
GO:0010608	posttranscriptional regulation of gene expression	http://amigo.geneontology.org/amigo/term/GO:0010608	452	89	32.1249688822504	2.77043069913054	0	0	103;328;468;677;678;708;1613;1656;1660;1736;1938;1975;1978;1981;1982;2058;2185;2332;2597;2733;3315;3376;3609;3646;4076;4343;4869;5073;5499;5530;5580;5594;5691;5694;5696;5704;5707;5709;5710;5713;5714;5719;5721;5901;5936;5976;6191;6199;6203;6418;6774;7298;7407;7458;7514;7832;8664;8667;8672;8872;8890;8893;9444;9611;9698;10102;10197;10213;10657;10985;11140;23019;25946;27335;51441;55272;55795;56915;57510;60678;79882;83939;84271;91574;116496;118460;127933;136319;340152	TSFM;PSME3;PSMD14;ADAR;KHDRBS1;GCN1;CDC37;FAM129A;EXOSC6;UHMK1;MTPN;DAPK3;DDX6;DHX9;DKC1;EEF2;EIF4B;EIF4EBP1;EIF4G1;EIF4G2;EPRS;PTK2B;CNOT1;FMR1;ZNF385A;GAPDH;GLE1;EIF3K;APEX1;HSPB1;IARS;ZC3H12D;ILF3;EIF3E;CAPRIN1;MOV10;ATF4;NPM1;PARN;YTHDF2;PPP1CA;IMP3;PPP3CA;PCID2;PRKCD;MAPK1;PSMB3;EXOSC5;PSMB6;PSMB8;PSMC4;PSMD1;PSMD3;PSMD4;PSMD7;PSMD8;PSMD13;PSME2;XPO5;RAN;RBM4;UPF1;EEFSEC;RPS4X;RPS6KB2;RPS9;SET;ZFP36L1;STAT3;ZFP36L2;C1QBP;TYMS;VARS;EIF4H;XPO1;BTG2;ZC3H14;EIF2A;POLDIP3;EIF3D;EIF3H;EIF4G3;CDC123;EIF2B4;EIF2B5;C12orf65;QKI;NCOR1;PUM1
GO:0016032	viral process	http://amigo.geneontology.org/amigo/term/GO:0016032	711	128	50.53286034354	2.53300523916144	0	0	103;156;708;1072;1385;1642;1655;1656;1981;2033;2071;2332;2648;2885;2956;2962;2963;3054;3190;3383;3434;3561;3572;3609;3695;3735;3836;3838;3932;4067;4599;4736;4792;4869;4938;5093;5094;5430;5431;5432;5434;5437;5594;5691;5694;5696;5725;5901;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6191;6202;6203;6204;6205;6217;6418;6772;6774;6780;6827;6829;6830;6891;7037;7094;7153;7157;7249;7298;7374;7415;7431;7458;7514;7520;7726;7874;8086;8661;8664;8665;8666;8672;8906;9688;9730;9798;9820;9830;10005;10015;10189;10482;10524;10992;11224;23225;23279;23327;23352;23513;25873;26057;27044;27336;51497;55690;55729;55746;56829;57122;79023;79139;79902;80145;81929;84875;90678;200316	ACOT8;PDCD6IP;ALYREF;ADAR;NXF1;KAT5;CFL1;SF3B2;RPL35;CREB1;GRK2;DDB1;DDX5;DDX6;EIF4G1;APOBEC3F;EP300;ERCC3;NUP210;NUP160;FMR1;NEDD4L;UBR4;SCRIB;RPL36;ANKRD17;KAT2A;SND1;HTATSF1;GRB2;MSH6;GTF2F1;GTF2F2;HCFC1;HNRNPK;ICAM1;IFIT1;IL2RG;IL6ST;ILF3;ITGB7;KARS;KPNA1;KPNA2;LCK;LYN;MX1;RPL10A;NFKBIA;NPM1;OAS1;PCBP1;PCBP2;NELFCD;POLR2A;POLR2B;POLR2C;POLR2E;POLR2H;PACS1;ATF7IP;NUP133;MAPK1;ZC3HAV1;PSMB3;PSMB6;PSMB8;NUP107;PTBP1;RAN;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;RPS4X;RPS8;RPS9;RPS10;RPS11;RPS16;SET;STAT1;STAT3;STAU1;SUPT4H1;SUPT5H;SUPT6H;TAP2;TFRC;C1QBP;TLN1;TOP2A;TP53;TSC2;TYMS;UNG;VCP;VIM;EIF4H;XPO1;XRCC5;TRIM26;USP7;NUP37;DERL1;NUP85;THOC7;AAAS;SEH1L;PARP10;EIF3A;EIF3D;EIF3F;EIF3G;EIF4G3;AP1G2;LRSAM1;NUP93;DCAF1;IST1;CUL7;TRIM14
GO:0016071	mRNA metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016071	658	125	46.7659945232761	2.67288232131545	0	0	103;472;677;678;708;1477;1478;1655;1656;1660;1665;1736;1975;1981;2071;2081;2332;2962;2963;3190;3646;3958;4154;4292;4343;4670;4736;4841;5073;5093;5094;5411;5430;5431;5432;5434;5437;5725;5936;5976;6050;6122;6125;6130;6132;6137;6143;6147;6152;6158;6165;6191;6202;6203;6204;6205;6217;6421;6499;6631;6651;6829;6830;7812;7832;8189;8458;8731;9169;9295;9444;9716;10081;10084;10181;10189;10262;10421;10594;10657;10768;10772;10907;10992;11224;11319;11338;23019;23020;23028;23049;23210;23450;23524;23644;24148;25873;27238;27336;51340;51503;51692;51728;51729;51755;54496;54623;55544;55677;55795;56254;56829;56915;56949;57703;57805;64852;79171;79882;80145;84271;91746;118460;125950;127933	PDCD7;PQBP1;RBM5;ALYREF;SF3B4;ADAR;CD2BP2;PRPF8;KHDRBS1;AHCYL1;SRSF10;TXNL4A;SF3B2;RPL35;ECD;U2AF2;EXOSC6;RAVER1;UHMK1;CSTF1;CSTF2;DDX5;DDX6;DHX9;DHX15;DKC1;EIF4B;EIF4G1;ERCC3;ERN1;CNOT1;SNRNP200;KDM1A;SMG1;JMJD6;FMR1;SF3B3;SRRM2;EDC4;PRPF6;RPL36;GPKOW;HTATSF1;GTF2F1;GTF2F2;HNRNPK;EIF3E;LGALS3;MBNL1;MLH1;MOV10;HNRNPM;ATM;RPL10A;NONO;PARN;PCBP1;PCBP2;CRNKL1;CWC15;CPSF3;POLR3K;WBP11;CDK12;PNN;POLR2A;POLR2B;POLR2C;POLR2E;POLR2H;PRMT7;PAF1;RBM38;IWS1;PCID2;RNF20;ZC3HAV1;EXOSC5;XAB2;PTBP1;CWC22;CCAR2;RBM4;UPF1;RNH1;RPL3;RPL5;RPL7A;RPL8;RPL13;RPL19;RPL23A;RPL24;RPL28;RPL35A;RPS4X;RPS8;RPS9;RPS10;RPS11;RPS16;SFPQ;TUT1;SKIV2L;SNRPC;SON;ZFP36L1;ZFP36L2;SUPT5H;SUPT6H;C1QBP;CSDE1;BTG2;RBM42;ZC3H14;THOC7;SYMPK;POLDIP3;TTF2;RNMT;SCAF11;YTHDC1;SRSF11;QKI;AQR
