userid	genesymbol	genename	entrezgene
ACOT8	ACOT8	acyl-CoA thioesterase 8	10005
SRA1	SRA1	steroid receptor RNA activator 1	10011
SNRPGP15	SNRPGP15	small nuclear ribonucleoprotein polypeptide G pseudogene 15	100130932
PDCD6IP	PDCD6IP	programmed cell death 6 interacting protein	10015
TROAP	TROAP	trophinin associated protein	10024
CHAF1A	CHAF1A	chromatin assembly factor 1 subunit A	10036
PARP3	PARP3	poly(ADP-ribose) polymerase family member 3	10039
RANBP9	RANBP9	RAN binding protein 9	10048
SMC4	SMC4	structural maintenance of chromosomes 4	10051
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061
SCAMP2	SCAMP2	secretory carrier membrane protein 2	10066
PDCD7	PDCD7	programmed cell death 7	10081
PQBP1	PQBP1	polyglutamine binding protein 1	10084
ARPC4	ARPC4	actin related protein 2/3 complex subunit 4	10093
ACTR3	ACTR3	ARP3 actin related protein 3 homolog	10096
ACTR2	ACTR2	ARP2 actin related protein 2 homolog	10097
TSFM	TSFM	Ts translation elongation factor, mitochondrial	10102
FEM1B	FEM1B	fem-1 homolog B	10116
EBI3	EBI3	Epstein-Barr virus induced 3	10148
PLXNC1	PLXNC1	plexin C1	10154
ATP6AP2	ATP6AP2	ATPase H+ transporting accessory protein 2	10159
LPCAT3	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162
RBM5	RBM5	RNA binding motif protein 5	10181
ALYREF	ALYREF	Aly/REF export factor	10189
ALG3	ALG3	ALG3, alpha-1,3- mannosyltransferase	10195
PRMT3	PRMT3	protein arginine methyltransferase 3	10196
PSME3	PSME3	proteasome activator subunit 3	10197
PSMD14	PSMD14	proteasome 26S subunit, non-ATPase 14	10213
DCAF7	DCAF7	DDB1 and CUL4 associated factor 7	10238
SF3B4	SF3B4	splicing factor 3b subunit 4	10262
UBE4B	UBE4B	ubiquitination factor E4B	10277
CDKN1C	CDKN1C	cyclin dependent kinase inhibitor 1C	1028
RGS19	RGS19	regulator of G-protein signaling 19	10287
CDKN2A	CDKN2A	cyclin dependent kinase inhibitor 2A	1029
TRAIP	TRAIP	TRAF interacting protein	10293
