userid	genesymbol	genename	entrezgene
FAM106CP	FAM106CP	family with sequence similarity 106 member C, pseudogene	100129396
NEMP2	NEMP2	nuclear envelope integral membrane protein 2	100131211
ARMCX4	ARMCX4	armadillo repeat containing, X-linked 4	100131755
CLDN24	CLDN24	claudin 24	100132463
C5orf52	C5orf52	chromosome 5 open reading frame 52	100190949
CCDC179	CCDC179	coiled-coil domain containing 179	100500938
TNIP1	TNIP1	TNFAIP3 interacting protein 1	10318
CDKN3	CDKN3	cyclin dependent kinase inhibitor 3	1033
STK25	STK25	serine/threonine kinase 25	10494
SEMA6C	SEMA6C	semaphorin 6C	10500
FBLN5	FBLN5	fibulin 5	10516
TRIM3	TRIM3	tripartite motif containing 3	10612
ARPP19	ARPP19	cAMP regulated phosphoprotein 19	10776
HCP5	HCP5	HLA complex P5 (non-protein coding)	10866
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971
ADRM1	ADRM1	adhesion regulating molecule 1	11047
ADAMTS8	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095
KATNA1	KATNA1	katanin catalytic subunit A1	11104
CHGA	CHGA	chromogranin A	1113
LSM6	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	11157
SLC6A14	SLC6A14	solute carrier family 6 member 14	11254
LMTK3	LMTK3	lemur tyrosine kinase 3	114783
OSBPL6	OSBPL6	oxysterol binding protein like 6	114880
ZNF689	ZNF689	zinc finger protein 689	115509
WDFY2	WDFY2	WD repeat and FYVE domain containing 2	115825
DCD	DCD	dermcidin	117159
ZNF511	ZNF511	zinc finger protein 511	118472
C14orf28	C14orf28	chromosome 14 open reading frame 28	122525
USH1G	USH1G	USH1 protein network component sans	124590
NLRP8	NLRP8	NLR family pyrin domain containing 8	126205
LRRC38	LRRC38	leucine rich repeat containing 38	126755
ADH4	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127
STXBP5	STXBP5	syntaxin binding protein 5	134957
PASD1	PASD1	PAS domain containing repressor 1	139135
C11orf84	C11orf84	chromosome 11 open reading frame 84	144097
TMED6	TMED6	transmembrane p24 trafficking protein 6	146456
ODF4	ODF4	outer dense fiber of sperm tails 4	146852
NKX2-5	NKX2-5	NK2 homeobox 5	1482
DUSP18	DUSP18	dual specificity phosphatase 18	150290
SGO2	SGO2	shugoshin 2	151246
ATP6V0E2	ATP6V0E2	ATPase H+ transporting V0 subunit e2	155066
FREM3	FREM3	FRAS1 related extracellular matrix 3	166752
LCA5	LCA5	LCA5, lebercilin	167691
SLC30A8	SLC30A8	solute carrier family 30 member 8	169026
DRD4	DRD4	dopamine receptor D4	1815
DVL2	DVL2	dishevelled segment polarity protein 2	1856
EFNA2	EFNA2	ephrin A2	1943
TSNARE1	TSNARE1	t-SNARE domain containing 1	203062
FBLN2	FBLN2	fibulin 2	2199
DOK6	DOK6	docking protein 6	220164
RSPH9	RSPH9	radial spoke head 9 homolog	221421
HS3ST5	HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5	222537
FGF13	FGF13	fibroblast growth factor 13	2258
SPEN	SPEN	spen family transcriptional repressor	23013
TRIM35	TRIM35	tripartite motif containing 35	23087
RRP12	RRP12	ribosomal RNA processing 12 homolog	23223
ARHGEF9	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9	23229
WBP2	WBP2	WW domain binding protein 2	23558
